"","Unweighted.Count","Proportion","Lower_CI","Upper_CI","SE","CKD"
"nhanes01_02w",84,49.5317705365182,40.0640938081013,59.0331462425201,4.50435054999821,"CKD"
"nhanes03_04w",112,53.5028220130173,45.7977932245688,61.0442178427264,3.60450466496813,"CKD"
"nhanes05_06w",96,51.7356515750744,43.7565628591551,59.6272032483684,3.75466919323074,"CKD"
"nhanes07_08w",138,47.4569626948842,38.7604266434864,56.3105469743863,4.18255285121904,"CKD"
"nhanes09_10w",135,56.7767539238818,51.5459293241524,61.8607077021389,2.44135444261756,"CKD"
"nhanes11_12w",127,48.132793795544,41.7728560792206,54.5538180515258,3.04556176714254,"CKD"
"nhanes13_14w",136,55.9864148284994,46.7046446446662,64.8676578575673,4.30780656098259,"CKD"
"nhanes15_16w",131,57.1487439076523,45.2755373866124,68.252256766168,5.48577520908431,"CKD"
"nhanes17_18w",175,56.8831889409989,48.443575467899,64.9410922478865,3.9050019706905,"CKD"
"nhanes01_02w1",130,64.5587934323894,50.407219391585,76.5507102285736,6.26273774559341,"No-CKD"
"nhanes03_04w1",120,62.5074285527462,51.3389879919145,72.4862866593234,5.03106111476744,"No-CKD"
"nhanes05_06w1",120,68.4495636050973,59.0739378491229,76.5306633783823,4.1287134664189,"No-CKD"
"nhanes07_08w1",186,62.2550284671657,53.8184653951284,70.0092316122717,3.85021467755602,"No-CKD"
"nhanes09_10w1",165,54.6901562757122,41.8828128524261,66.9052934521316,6.02865680641934,"No-CKD"
"nhanes11_12w1",176,62.8193446278531,53.03059113068,71.6583347515101,4.4625277659758,"No-CKD"
"nhanes13_14w1",196,62.704335968941,52.7095273503955,71.7200987857842,4.51016654087939,"No-CKD"
"nhanes15_16w1",247,65.4742178164813,56.5118320589714,73.4570956130285,4.0088323900179,"No-CKD"
"nhanes17_18w1",248,69.4049937709246,60.5770762038517,77.0064416260886,3.88090226037474,"No-CKD"
