"","Unweighted.Count","Proportion","Lower_CI","Upper_CI","SE","Poverty"
"nhanes01_02w",32,49.1625901321499,29.1655040105058,69.4312841440837,9.43369949563032,"Below-threshold"
"nhanes03_04w",32,35.0445647186244,22.1916616157306,50.5092373477208,6.71668791562184,"Below-threshold"
"nhanes05_06w",30,33.8086764178238,20.4384409179775,50.3862352928709,7.11928058632837,"Below-threshold"
"nhanes07_08w",50,34.3274795759686,27.1623328209534,42.2854379200771,3.49377655462322,"Below-threshold"
"nhanes09_10w",45,37.1489101264146,24.1020437891001,52.3838271184234,6.59044378239112,"Below-threshold"
"nhanes11_12w",69,41.544804857555,31.1465764950986,52.7546938000485,5.17556317508393,"Below-threshold"
"nhanes13_14w",53,39.4431558393661,24.840707018538,56.2098263147041,7.55508308201892,"Below-threshold"
"nhanes15_16w",69,37.6725795513674,30.2832328281196,45.6834899278996,3.61685523373221,"Below-threshold"
"nhanes17_18w",42,28.2111885310652,19.8265125588382,38.4415756854551,4.34194169634098,"Below-threshold"
"nhanes01_02w1",183,58.5991585078388,49.3050171917468,67.3187957766719,4.27082464175693,"At/Above-threshold"
"nhanes03_04w1",194,62.7303146146003,55.7308730811745,69.2340098154978,3.18552758847162,"At/Above-threshold"
"nhanes05_06w1",185,65.9892709256543,60.1858519460692,71.3494558855047,2.62821446080565,"At/Above-threshold"
"nhanes07_08w1",252,58.3796960145281,50.6338801226293,65.7326669324377,3.58779415853289,"At/Above-threshold"
"nhanes09_10w1",250,58.8709877724286,50.9339358679342,66.3718050072558,3.66950239050772,"At/Above-threshold"
"nhanes11_12w1",220,59.9274765889241,49.4103571098523,69.6032428480432,4.84919231747229,"At/Above-threshold"
"nhanes13_14w1",267,63.7176716319941,57.6149845223951,69.4082313852938,2.7781972637338,"At/Above-threshold"
"nhanes15_16w1",286,67.7628352805535,59.126788095817,75.3353537411047,3.82982284382075,"At/Above-threshold"
"nhanes17_18w1",340,67.22193723104,61.2375593241393,72.6943767758792,2.69739948974912,"At/Above-threshold"
